SAN;si
a-loc;si
ac;si
acco;si
acl;si
acm;si
acrt;si
adms;si
af;si
agls;no
agr;no
agrelon;si
aiiso;si
airo;si
airs;si
akt;si
akts;si
algo;si
am;si
aml;si
amlo-core;si
ao;no
aos;si
api;si
apps4X;si
arch;no
arco;si
arp;si
atd;si
atm;si
atts;si
awol;si
aws;si
bag;si
basic;no
bbc;si
bbccms;si
bbccore;si
bbcprov;si
bci;no
bcom;si
being;si
bevon;si
bf;si
bibo;si
bibtex;si
bimerr-op;si
bio;si
biol;si
biopax;si
biotop;si
biro;si
blt;si
bot;si
botany;si
bperson;si
br;si
brk;si
brt;si
bto;si
c4n;si
c4o;si
cal;si
caresses;si
cart;si
caso;si
cbcm;si
cbo;si
cbs;no
cc;si
cci;si
cco;si
ccp;si
ccr;si
ccsla;si
cdc;si
cdesc;si
cdm;si
cdtype;si
cem;si
ceo;si
cerif;si
cert;si
cevent;si
cff;si
cfp;si
cfrl;si
cgov;no
chord;si
ci;si
cis;no
cito;si
citof;si
cl;si
cld;si
cmo;si
cnt;si
co;si
cochrane;si
cocoon;si
cogs;si
cold;si
coll;si
comm;si
common;si
con;si
contax;si
conversion;si
coo;si
core;si
coun;si
cpa;si
cpmeta;si
crm;si
cro;si
crsw;no
cs;si
csp;si
csvw;si
ct;si
ctag;no
ctlog;si
cto;si
ctorg;si
ctrl;si
ctxdesc;si
cwmo;si
cwork;si
cwrc;si
d2rq;si
dady;si
daia;si
daq;si
dataid;si
date;si
datex;si
dave;si
dba;si
dbm;si
dbowl;si
dbpedia-owl;si
dbug;si
dcam;si
dcat;si
dce;si
dcite;si
dcndl;si
dco;si
dcterms;si
dctype;si
ddesc;si
decision;si
demlab;si
deo;si
deps;si
dfc;si
dfc-b;si
dfc-p;si
dfc-t;si
dg;si
dicom;si
dio;si
disco;si
dita;si
dk;si
dm2e;no
dnbt;si
doap;no
doc;si
doco;si
docso;no
dogont;si
donto;si
dot;si
dpn;si
dprov;no
dq;no
dqc;si
dqm;si
dqv;si
dr;si
drama;si
drm;no
ds;si
dsd;si
dsn;no
dso;si
dtx_srti;si
dtype;si
dul;si
duv;si
dvia;si
eac-cpf;si
earl;si
earth;si
ebg;si
ebucore;si
eccrev;si
ecfo;si
eclap;no
ecpo;si
ecrm;si
edac;si
edm;si
edu;si
edupro;si
eem;no
eeo;si
eepsa;si
ei2a;si
elec;si
eli;si
emotion;si
emp;si
ends;si
ep;si
eppl;si
eqp;si
era;si
esco;si
essglobal;si
eupont;si
event;si
ex;si
exif;si
ext;no
fabio;si
faldo;si
fea;no
fel;si
fiesta-iot;si
fiesta-priv;si
foaf;si
fog;si
foio;si
food;no
fowl;si
frad;si
frapo;si
frappe;si
frbr;si
frbre;si
frbrer;si
fresnel;si
g50k;si
game;si
gc;si
gci;si
gcon;si
gd;no
gdprov;si
gdprt;si
gen;si
geo;si
geod;no
geof;no
geofla;si
geom;si
geop;si
geosp;si
gf;no
gleif-L1;si
gleif-L2;si
gleif-base;si
gleif-elf;si
gleif-geo;si
gleif-ra;si
gleif-repex;si
gm;no
gml;si
gn;si
gndo;si
gold;si
gom;si
gov;si
gr;si
grddl;si
gso;si
gsp;si
gtfs;si
gts;si
gufo;si
gvp;si
h2o;no
ha;si
hctl;si
hdo;no
hifm;si
holding;si
hosp;no
hpont;si
hr;si
hto;si
http;si
hw;no
hydra;si
iadopt;si
ibis;si
ic;si
iddo;si
idemo;si
identity;si
ids;si
ifc;si
igeo;si
ignf;si
imo;si
incident;si
infor;si
inno;si
interval;no
iol;si
iot-lite;si
iot-tta;si
ioto;si
iottaxolite;si
ipo;si
irao;si
irw;si
is;si
isbd;si
iso-thes;si
iso37120;si
isoadr;si
ispra;si
istex;si
itm;no
itsmo;si
ivoam;si
jsonsc;si
jup;si
juso;si
juso.kr;si
kdo;no
kees;si
keys;si
km4c;si
label;si
lawd;si
lc;si
lcy;si
ldes;si
ldp;si
ldr;si
ldvm;si
lemon;si
lexdcp;si
lexinfo;si
lgdo;si
lh;si
li;no
lib;no
lifecycle;si
lime;si
limo;no
limoo;no
lingvo;si
lio;si
llont;no
lmm1;si
lmm2;si
loc;si
locah;no
locn;si
lode;si
log;si
lom;si
losp;no
loted;si
lsc;si
lslife;si
lsmap;si
lsq;si
lsweb;si
lswmo;si
lswpm;si
ludo;si
ludo-gm;si
ludo-gp;si
ludo-vc;si
ludo-xapi;si
lv;si
lvont;si
lyou;si
m3lite;si
m4i;si
ma-ont;si
mads;si
marl;no
maso;si
md;no
mdi;si
mdo;si
mdo-calc;si
mdo-struc;si
mdoprov;si
mdr;si
meb;no
media;no
medred;si
mexalgo;si
mexcore;si
mexperf;si
mil;si
mls;si
mo;si
moac;no
moat;no
mod;si
modsci;si
mrel;si
msm;si
msr;si
mtlo;no
munc;si
mus;si
music;si
muto;si
mv;si
mvco;si
nao;no
nas;si
ncal;no
nco;no
nen2660;si
nfo;no
ngeo;si
nie;no
nif;si
nlon;si
nno;si
noria;si
np;no
npg;si
nrl;no
nrv;si
nsl;si
ntag;si
oa;si
oad;si
oae;no
oan;no
obo;si
obsm;si
obws;si
oc;si
ocd;si
ocds;si
odapp;si
odapps;si
odpart;si
odrl;si
odrs;si
odv;no
oecc;si
of;si
ofo;si
ofrd;si
og;si
oh;si
olca;si
olo;si
om;no
omg;si
oml;no
omn;no
omnfed;no
omnlc;no
onc;no
ont;si
ontolex;si
ontopic;si
ontosec;no
onyx;no
oo;si
op;si
open311;si
opm;si
opmo;si
opmv;si
opmw;si
opo;no
opus;no
orca;si
ore;si
org;si
orges;si
osadm;si
osgeom;si
oslc;si
oslo;si
osp;no
osr;si
osspr;si
ostop;si
otl;si
oum;si
ov;no
owl;si
p-plan;si
parl;no
part;si
passim;no
pat;no
pattern;si
pav;si
pay;no
pbo;si
pc;si
pdo;si
peco;si
pep;si
person;si
pext;si
pfeepsa;si
phdd;si
pico;si
pimsii;si
place;si
plink;si
plo;si
pmlp;si
pmofn;si
pmonb;si
pmopb;si
pmovn;si
pna;no
pnc;no
pne;no
pni;no
pns;no
pnt;no
po;si
poder;si
poso;si
posocm;si
postcode;si
poste;no
ppo;si
pproc;si
pr;si
premis;si
prissma;si
pro;si
prof;si
prog;si
prov;si
provoc;si
prv;si
prvt;si
psh;si
pso;si
ptop;si
pubsub;si
puv;si
pwo;si
qb;si
qb4o;si
qu;si
qudt;si
r-arco;si
r4r;si
radion;si
rains;si
rami;si
raul;si
rb;si
rbdoc;si
rdaa;si
rdac;si
rdae;si
rdafrbr;si
rdag1;si
rdag2;si
rdag3;si
rdai;si
rdam;si
rdarel;si
rdarel2;si
rdarole;si
rdau;si
rdaw;si
rdf;si
rdfa;si
rdfg;si
rdfp;si
rdfs;si
rdft;si
react;si
rec;si
rec54;si
reco;no
reegle;si
rel;si
remetca;si
rev;si
rico;si
rlog;si
ro;si
roh;si
rooms;si
rov;si
rr;si
rsctx;si
rss;si
rto;si
ru;si
ruto;si
s4ac;si
s4agri;si
s4bldg;si
s4city;si
s4ehaw;si
s4ener;si
s4envi;si
s4inma;si
s4syst;si
s4watr;si
s4wear;si
sam;no
samfl;no
san-lod;no
sao;no
saont;si
saref;si
saws;no
sbeo;si
schema;si
scip;si
scoro;si
scot;si
scovo;si
scsv;si
sd;si
sdm;si
sdmx;si
sdmx-code;si
sdmx-dimension;si
sdo;no
sealit;si
search;si
seas;si
seas-eval;si
seas-op;si
seas-qudt;si
seas-stats;si
seas-sys;si
seasb;si
seasbo;si
seasd;si
seasfo;si
seast;si
seasto;si
security;si
sem;si
semio;no
semiotics;si
semsur;si
seo;si
seq;si
service;si
sf;si
sh;si
shoah;si
shw;si
sim;no
simu;si
sio;si
sioc;si
situ;si
skos;si
skosxl;si
smg;no
snarm;no
solid;si
sor;no
sosa;si
sp;si
spatial;si
spcm;no
spfood;si
spin;si
sport;si
spt;si
spvqa;si
sql;si
sro;no
sronto;si
ssn;si
ssno;si
ssso;no
st;si
stac;si
step;si
sto;si
stories;si
summa;si
sur;si
sw-quality;si
swc;no
swp;si
swpm;no
swpo;si
swrc;si
swrl;si
synsem;si
tac;si
tag;si
tao;si
tax;si
taxon;si
taxref-ld;si
tb;si
td;si
tddfa;si
tddial;si
tddm;si
tddom;si
tddt;si
tddw;si
te;si
teach;si
tempo;si
test;si
tfo;si
theatre;si
thors;si
ti;si
tiles;si
time;si
tio;si
tis;si
tisc;no
tl;si
tm;no
tmo;si
toco;si
todo;si
topo;si
tp;si
traffic;si
trait;si
transit;si
trao;si
tsioc;si
tsn;si
tsnc;si
turismo;no
tvc;si
txn;si
tzont;si
uby;si
uco;si
ucum;no
ui;si
uiot;si
uiote;si
uiots;si
umbel;si
uneskos;si
uniprot;si
uri4uri;si
usability;si
va;no
vaem;si
vag;si
vann;si
vartrans;si
vcard;si
vdpp;no
veo;si
vgo;si
vin;si
vir;si
vivo;si
vmm;no
voaf;si
voag;si
vocals;si
void;si
voidext;si
voidwh;no
vra;si
vrank;si
vs;si
vsearch;si
vso;si
vvo;si
w3c-ssn;si
wai;no
wdrs;si
wf-invoc;si
wfdesc;si
wfm;si
wfprov;si
whisky;si
whois;si
wi;si
wikibase;si
wikim;no
wl;si
wlo;si
wo;si
wot;si
wotsec;si
xapi;si
xbrll;si
xhv;si
xkos;si
xsd;si
yoga;si
zbwext;no
